IT Inventory Name,Type,Make,MODEL,Description,Retail Value,Payment Method,Assigned To,enCrypted,Status,Life Cycle,Purchase Date,Warranty Exp
LT059,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT060,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019  ","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT061,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019  ","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT062,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT063,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT064,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT065,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT066,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT067,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT068,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT069,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT070,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT071,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT072,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT073,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT074,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2019-04-10,2023-04-09
LT075,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,SPARE,Close to Warranty Expiration,2019-04-10,2023-04-09
LT076,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,SPARE,Close to Warranty Expiration,2019-04-10,2023-04-09
LT077,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,SPARE,Close to Warranty Expiration,2019-04-10,2023-04-09
LT078,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,SPARE,Close to Warranty Expiration,2019-04-10,2023-04-09
LT079,Laptop,DELL,"Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen - 2019","Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 1016GB DDR4 RAM; Storage: 512GB M. 2 SSD + 1TB HDD (Seal is broken for upgrades Only, Professional Installation Service included)
8th Generation Intel Quad Core i5-8250U (1. 6 GHz base frequency, up to 3. 4 GHz with Intel Turbo Boost Technology, 6 MB cache, 4 Cores 8 Threads)
15. 6 Inch Touchscreen FHD (1920x1080) (10-Finger Multi-TOUCH support) | Integrated Intel UHD Graphics 620 - Max Resolution (DP) 4K 4096x2304 at 60Hz",1140,AMEX,,YES,SPARE,Close to Warranty Expiration,2019-04-10,2023-04-09
LT080,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT081,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT082,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT083,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT084,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT085,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT086,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT087,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT088,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT089,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT090,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,ASSIGNED,Mid-Warranty,2022-02-10,2026-02-09
LT091,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,SPARE,NEW,2022-02-10,2026-02-09
LT092,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,SPARE,NEW,2022-02-10,2026-02-09
LT093,Laptop,IBM,"Lenovo ThinkPad P15 Gen 2 - 15.6"" - Xeon W-11855M - vPro - 32 GB RAM - 1 TB","ThinkPad P15 G2, Intel Xeon W-11855M (3.20GHz,) 15.6 1920 x 1080 Non-Touch, Windows 10 Pro for Workstations 64, 32.0GB, 1x1TB SSD, M.2 2280, PCIe Gen4 Performance NVMe, OPAL2.0, TLC, NVIDIA RTX A2000 4GB, Wi-Fi 6E AX210,Bluetooth 5.1, IR&RGB Camera, 6 Cell Li-Pol 94Wh, 3YR Premier NBD.",2850,MASTERCARD,,YES,SPARE,NEW,2022-02-10,2026-02-09
